img0,img1,mean_conf,mean_err(px),AUC@1,AUC@2,AUC@5,AUC@10
Q_009_00197.JPG,Q_009_00199.JPG,0.9289,2.942,0.000,0.004,0.996,0.997
Q_009_00198.JPG,Q_009_00200.JPG,0.9007,2.966,0.001,0.004,0.996,0.997
Q_009_00199.JPG,Q_009_00201.JPG,0.9519,3.033,0.001,0.004,0.976,0.997
Q_009_00200.JPG,Q_009_00202.JPG,0.9385,3.261,0.000,0.004,0.929,0.994
Q_009_00201.JPG,Q_009_00203.JPG,0.9228,4.149,0.001,0.016,0.886,0.963
Q_009_00202.JPG,Q_009_00204.JPG,0.9307,14.404,0.000,0.010,0.878,0.955
Q_009_00203.JPG,Q_009_00205.JPG,0.8432,20.635,0.001,0.005,0.843,0.908
Q_009_00204.JPG,Q_009_00206.JPG,0.7793,3.067,0.001,0.004,0.999,1.000
Q_009_00205.JPG,Q_009_00207.JPG,0.7326,2.976,0.000,0.001,0.998,1.000
Q_009_00206.JPG,Q_009_00208.JPG,0.9128,3.014,0.001,0.004,0.997,0.999
Q_009_00207.JPG,Q_009_00209.JPG,0.7831,3.143,0.000,0.001,0.998,0.999
Q_009_00208.JPG,Q_009_00210.JPG,0.7477,2.847,0.001,0.006,0.996,0.998
Q_009_00209.JPG,Q_009_00211.JPG,0.8421,2.975,0.001,0.004,0.996,0.997
Q_009_00210.JPG,Q_009_00212.JPG,0.8597,2.920,0.001,0.004,0.996,0.997
Q_009_00211.JPG,Q_009_00213.JPG,0.8692,2.960,0.000,0.004,0.996,0.997
Q_009_00212.JPG,Q_009_00214.JPG,0.9175,2.943,0.001,0.004,0.996,0.997
Q_009_00213.JPG,Q_009_00215.JPG,0.9529,2.957,0.001,0.003,0.996,0.997
Q_009_00214.JPG,Q_009_00216.JPG,0.9544,2.918,0.001,0.003,0.996,0.997
Q_009_00215.JPG,Q_009_00217.JPG,0.9382,2.915,0.001,0.004,0.996,0.997
Q_009_00216.JPG,Q_009_00218.JPG,0.9194,2.880,0.000,0.001,0.997,0.997
Q_009_00217.JPG,Q_009_00219.JPG,0.9382,2.928,0.000,0.001,0.997,0.997
Q_009_00218.JPG,Q_009_00220.JPG,0.9303,2.930,0.000,0.002,0.996,0.997
Q_009_00219.JPG,Q_009_00221.JPG,0.9569,2.988,0.000,0.002,0.996,0.997
Q_009_00220.JPG,Q_009_00222.JPG,0.9613,2.998,0.000,0.003,0.996,0.997
Q_009_00221.JPG,Q_009_00223.JPG,0.9665,3.077,0.001,0.003,0.986,0.997
Q_009_00222.JPG,Q_009_00224.JPG,0.9694,3.026,0.001,0.003,0.996,0.997
Q_009_00223.JPG,Q_009_00225.JPG,0.9707,3.071,0.000,0.003,0.984,0.997
Q_009_00224.JPG,Q_009_00226.JPG,0.9665,3.031,0.001,0.004,0.996,0.997
Q_009_00225.JPG,Q_009_00227.JPG,0.9775,3.018,0.001,0.004,0.991,0.997
