img0,img1,mean_conf,mean_err(px),AUC@1,AUC@2,AUC@5,AUC@10
TIMELAPSE_0274.JPG,TIMELAPSE_0276.JPG,0.8659,1.876,0.001,0.977,0.997,0.998
TIMELAPSE_0275.JPG,TIMELAPSE_0277.JPG,0.8747,1.988,0.000,0.969,0.993,0.996
TIMELAPSE_0276.JPG,TIMELAPSE_0278.JPG,0.8827,1.873,0.000,0.975,0.994,0.996
TIMELAPSE_0277.JPG,TIMELAPSE_0279.JPG,0.8905,1.697,0.000,0.985,0.998,0.998
TIMELAPSE_0278.JPG,TIMELAPSE_0280.JPG,0.8607,2.339,0.011,0.971,0.994,0.997
TIMELAPSE_0279.JPG,TIMELAPSE_0281.JPG,0.8830,1.843,0.000,0.976,0.994,0.997
TIMELAPSE_0280.JPG,TIMELAPSE_0282.JPG,0.8385,1.765,0.001,0.982,0.997,0.998
TIMELAPSE_0281.JPG,TIMELAPSE_0283.JPG,0.8538,1.833,0.000,0.974,0.995,0.997
TIMELAPSE_0282.JPG,TIMELAPSE_0284.JPG,0.8527,1.826,0.000,0.971,0.993,0.996
TIMELAPSE_0283.JPG,TIMELAPSE_0285.JPG,0.8643,1.902,0.000,0.969,0.993,0.996
TIMELAPSE_0284.JPG,TIMELAPSE_0286.JPG,0.8641,1.931,0.000,0.975,0.994,0.997
TIMELAPSE_0285.JPG,TIMELAPSE_0287.JPG,0.8625,1.675,0.011,0.979,0.996,0.998
TIMELAPSE_0286.JPG,TIMELAPSE_0288.JPG,0.8657,1.637,0.001,0.986,0.997,0.998
TIMELAPSE_0287.JPG,TIMELAPSE_0289.JPG,0.8791,1.729,0.000,0.986,0.998,0.999
TIMELAPSE_0288.JPG,TIMELAPSE_0290.JPG,0.8743,1.816,0.000,0.977,0.997,0.998
TIMELAPSE_0289.JPG,TIMELAPSE_0291.JPG,0.8686,2.062,0.000,0.948,0.994,0.997
TIMELAPSE_0290.JPG,TIMELAPSE_0292.JPG,0.8706,2.165,0.000,0.909,0.993,0.996
TIMELAPSE_0291.JPG,TIMELAPSE_0293.JPG,0.8715,1.649,0.000,0.986,0.997,0.998
TIMELAPSE_0292.JPG,TIMELAPSE_0294.JPG,0.8777,1.661,0.000,0.990,0.998,0.999
TIMELAPSE_0293.JPG,TIMELAPSE_0295.JPG,0.8600,1.964,0.000,0.968,0.994,0.997
TIMELAPSE_0294.JPG,TIMELAPSE_0296.JPG,0.8733,1.747,0.000,0.982,0.996,0.998
TIMELAPSE_0295.JPG,TIMELAPSE_0297.JPG,0.8741,1.665,0.001,0.986,0.997,0.998
TIMELAPSE_0296.JPG,TIMELAPSE_0298.JPG,0.8870,4.039,0.000,0.967,0.992,0.996
TIMELAPSE_0297.JPG,TIMELAPSE_0299.JPG,0.8620,1.684,0.023,0.979,0.996,0.998
TIMELAPSE_0298.JPG,TIMELAPSE_0300.JPG,0.8591,1.651,0.005,0.967,0.992,0.996
TIMELAPSE_0299.JPG,TIMELAPSE_0301.JPG,0.8647,1.887,0.000,0.964,0.995,0.997
TIMELAPSE_0300.JPG,TIMELAPSE_0302.JPG,0.8562,1.839,0.003,0.973,0.997,0.998
TIMELAPSE_0301.JPG,TIMELAPSE_0303.JPG,0.8614,1.927,0.001,0.954,0.993,0.996
TIMELAPSE_0302.JPG,TIMELAPSE_0304.JPG,0.8696,4.751,0.000,0.966,0.992,0.995
TIMELAPSE_0303.JPG,TIMELAPSE_0305.JPG,0.8962,1.591,0.005,0.986,0.998,0.998
TIMELAPSE_0304.JPG,TIMELAPSE_0306.JPG,0.8546,1.889,0.000,0.969,0.994,0.997
