img0,img1,mean_conf,mean_err(px),AUC@1,AUC@2,AUC@5,AUC@10
H_009_00094.JPG,H_009_00096.JPG,0.8397,2.691,0.000,0.008,0.980,0.996
H_009_00095.JPG,H_009_00097.JPG,0.7668,3.647,0.001,0.008,0.977,0.989
H_009_00096.JPG,H_009_00098.JPG,0.7811,3.592,0.001,0.050,0.959,0.985
H_009_00097.JPG,H_009_00099.JPG,0.8537,2.649,0.001,0.013,0.988,0.999
H_009_00098.JPG,H_009_00100.JPG,0.8919,2.753,0.001,0.007,0.956,0.995
H_009_00099.JPG,H_009_00101.JPG,0.9173,2.597,0.001,0.006,0.996,0.999
H_009_00100.JPG,H_009_00102.JPG,0.9302,2.568,0.001,0.005,0.998,0.999
H_009_00101.JPG,H_009_00103.JPG,0.9324,2.587,0.001,0.005,0.998,0.999
H_009_00102.JPG,H_009_00104.JPG,0.9314,2.582,0.001,0.006,0.998,0.999
H_009_00103.JPG,H_009_00105.JPG,0.9394,2.605,0.001,0.006,0.996,0.999
H_009_00104.JPG,H_009_00106.JPG,0.8798,2.759,0.001,0.005,0.970,0.994
H_009_00105.JPG,H_009_00107.JPG,0.8650,2.733,0.001,0.006,0.977,0.993
H_009_00106.JPG,H_009_00108.JPG,0.8551,5.410,0.000,0.007,0.934,0.979
H_009_00107.JPG,H_009_00109.JPG,0.8932,2.730,0.001,0.007,0.978,0.998
H_009_00108.JPG,H_009_00110.JPG,0.8737,3.291,0.001,0.006,0.981,0.992
H_009_00109.JPG,H_009_00111.JPG,0.8751,2.685,0.001,0.008,0.971,0.999
H_009_00110.JPG,H_009_00112.JPG,0.8823,2.602,0.001,0.006,0.998,0.999
H_009_00111.JPG,H_009_00113.JPG,0.8969,2.593,0.001,0.005,0.998,1.000
H_009_00112.JPG,H_009_00114.JPG,0.9512,2.592,0.001,0.010,0.997,0.999
H_009_00113.JPG,H_009_00115.JPG,0.9454,2.545,0.001,0.008,0.998,0.999
H_009_00114.JPG,H_009_00116.JPG,0.9033,2.509,0.001,0.005,0.998,0.999
H_009_00115.JPG,H_009_00117.JPG,0.9619,2.511,0.001,0.006,0.998,1.000
H_009_00116.JPG,H_009_00118.JPG,0.9778,2.526,0.001,0.005,0.998,0.999
H_009_00117.JPG,H_009_00119.JPG,0.9775,2.531,0.001,0.006,0.997,0.999
H_009_00118.JPG,H_009_00120.JPG,0.9786,2.522,0.001,0.007,0.997,0.999
H_009_00119.JPG,H_009_00121.JPG,0.8536,3.030,0.001,0.006,0.965,0.990
H_009_00120.JPG,H_009_00122.JPG,0.7377,2.353,0.000,0.001,1.000,1.000
H_009_00121.JPG,H_009_00123.JPG,0.7314,2.482,0.003,0.014,0.995,0.999
H_009_00122.JPG,H_009_00124.JPG,0.7745,2.622,0.002,0.013,0.995,0.997
H_009_00123.JPG,H_009_00125.JPG,0.7825,2.380,0.000,0.000,1.000,1.000
H_009_00124.JPG,H_009_00126.JPG,0.7374,2.554,0.000,0.001,1.000,1.000
H_009_00125.JPG,H_009_00127.JPG,0.8983,2.538,0.001,0.005,0.999,1.000
H_009_00126.JPG,H_009_00128.JPG,0.9201,2.531,0.001,0.005,0.998,0.999
H_009_00127.JPG,H_009_00129.JPG,0.9345,2.541,0.001,0.005,0.998,0.999
H_009_00128.JPG,H_009_00130.JPG,0.9563,2.543,0.001,0.005,0.998,1.000
H_009_00129.JPG,H_009_00131.JPG,0.9775,2.547,0.001,0.005,0.998,0.999
H_009_00130.JPG,H_009_00132.JPG,0.9833,2.543,0.001,0.004,0.998,1.000
H_009_00131.JPG,H_009_00133.JPG,0.9807,2.555,0.001,0.004,0.998,0.999
H_009_00132.JPG,H_009_00134.JPG,0.9800,2.546,0.001,0.004,0.998,0.999
H_009_00133.JPG,H_009_00135.JPG,0.9743,2.531,0.001,0.004,0.998,0.999
H_009_00134.JPG,H_009_00136.JPG,0.9665,2.538,0.001,0.004,0.998,0.999
H_009_00135.JPG,H_009_00137.JPG,0.9584,2.557,0.001,0.004,0.998,0.999
H_009_00136.JPG,H_009_00138.JPG,0.9376,2.476,0.001,0.005,0.998,0.999
H_009_00137.JPG,H_009_00139.JPG,0.8358,2.389,0.001,0.004,0.998,0.999
H_009_00138.JPG,H_009_00140.JPG,0.8762,2.426,0.001,0.004,0.998,0.999
H_009_00139.JPG,H_009_00141.JPG,0.9611,2.512,0.001,0.004,0.998,0.999
H_009_00140.JPG,H_009_00142.JPG,0.9578,2.510,0.001,0.004,0.998,0.999
H_009_00141.JPG,H_009_00143.JPG,0.9618,2.541,0.001,0.004,0.998,0.999
H_009_00142.JPG,H_009_00144.JPG,0.9580,2.566,0.001,0.005,0.998,0.999
H_009_00143.JPG,H_009_00145.JPG,0.9555,2.524,0.001,0.004,0.998,0.999
H_009_00144.JPG,H_009_00146.JPG,0.9508,2.515,0.001,0.004,0.999,0.999
H_009_00145.JPG,H_009_00147.JPG,0.9577,2.523,0.001,0.004,0.998,0.999
H_009_00146.JPG,H_009_00148.JPG,0.9539,2.519,0.001,0.004,0.998,0.999
H_009_00147.JPG,H_009_00149.JPG,0.9667,2.512,0.000,0.004,0.998,1.000
H_009_00148.JPG,H_009_00150.JPG,0.9667,2.542,0.001,0.004,0.998,0.999
H_009_00149.JPG,H_009_00151.JPG,0.9605,2.519,0.001,0.004,0.998,0.999
H_009_00150.JPG,H_009_00152.JPG,0.9421,2.518,0.000,0.004,0.998,1.000
H_009_00151.JPG,H_009_00153.JPG,0.9460,2.525,0.001,0.004,0.998,0.999
H_009_00152.JPG,H_009_00154.JPG,0.9343,2.521,0.001,0.004,0.998,0.999
H_009_00153.JPG,H_009_00155.JPG,0.9304,2.508,0.001,0.004,0.998,0.999
H_009_00154.JPG,H_009_00156.JPG,0.9384,2.511,0.000,0.004,0.998,1.000
H_009_00155.JPG,H_009_00157.JPG,0.9338,2.519,0.001,0.005,0.999,0.999
H_009_00156.JPG,H_009_00158.JPG,0.9329,2.519,0.001,0.004,0.998,0.999
H_009_00157.JPG,H_009_00159.JPG,0.9364,2.508,0.001,0.004,0.998,0.999
H_009_00158.JPG,H_009_00160.JPG,0.9415,2.537,0.001,0.004,0.998,0.999
H_009_00159.JPG,H_009_00161.JPG,0.9531,2.536,0.001,0.005,0.998,0.999
H_009_00160.JPG,H_009_00162.JPG,0.8709,2.419,0.001,0.004,0.998,0.999
H_009_00161.JPG,H_009_00163.JPG,0.7517,2.864,0.002,0.345,0.996,0.999
H_009_00162.JPG,H_009_00164.JPG,0.7349,2.718,0.001,0.335,0.999,1.000
H_009_00163.JPG,H_009_00165.JPG,0.7746,3.982,0.000,0.333,0.720,1.000
H_009_00164.JPG,H_009_00166.JPG,0.7381,2.822,0.000,0.660,0.749,1.000
H_009_00165.JPG,H_009_00167.JPG,0.8492,1.950,0.002,0.589,1.000,1.000
H_009_00166.JPG,H_009_00168.JPG,0.9591,2.479,0.001,0.004,0.998,0.999
H_009_00167.JPG,H_009_00169.JPG,0.9855,2.525,0.001,0.004,0.998,0.999
H_009_00168.JPG,H_009_00170.JPG,0.9760,2.512,0.000,0.004,0.998,1.000
H_009_00169.JPG,H_009_00171.JPG,0.9754,2.513,0.001,0.004,0.998,0.999
H_009_00170.JPG,H_009_00172.JPG,0.9734,2.509,0.001,0.004,0.998,0.999
H_009_00171.JPG,H_009_00173.JPG,0.9643,2.505,0.001,0.004,0.998,0.999
H_009_00172.JPG,H_009_00174.JPG,0.9362,2.513,0.001,0.004,0.998,0.999
H_009_00173.JPG,H_009_00175.JPG,0.9083,2.499,0.001,0.004,0.998,0.999
H_009_00174.JPG,H_009_00176.JPG,0.9025,2.493,0.001,0.004,0.998,0.999
H_009_00175.JPG,H_009_00177.JPG,0.8181,2.490,0.001,0.012,0.996,0.999
H_009_00176.JPG,H_009_00178.JPG,0.8881,2.505,0.001,0.007,0.996,0.999
H_009_00177.JPG,H_009_00179.JPG,0.9128,2.509,0.001,0.004,0.998,1.000
H_009_00178.JPG,H_009_00180.JPG,0.9337,2.513,0.000,0.005,0.998,0.999
H_009_00179.JPG,H_009_00181.JPG,0.9506,2.516,0.001,0.005,0.998,0.999
H_009_00180.JPG,H_009_00182.JPG,0.9310,2.524,0.000,0.005,0.999,0.999
H_009_00181.JPG,H_009_00183.JPG,0.9500,2.540,0.001,0.004,0.998,0.999
H_009_00182.JPG,H_009_00184.JPG,0.9409,2.534,0.001,0.004,0.998,0.999
H_009_00183.JPG,H_009_00185.JPG,0.9564,2.523,0.001,0.004,0.998,0.999
H_009_00184.JPG,H_009_00186.JPG,0.9576,2.512,0.001,0.004,0.998,0.999
H_009_00185.JPG,H_009_00187.JPG,0.9400,2.510,0.001,0.004,0.998,0.999
H_009_00186.JPG,H_009_00188.JPG,0.9434,2.521,0.001,0.005,0.998,0.999
H_009_00187.JPG,H_009_00189.JPG,0.9504,2.516,0.001,0.005,0.998,0.999
H_009_00188.JPG,H_009_00190.JPG,0.9581,2.511,0.000,0.004,0.998,1.000
H_009_00189.JPG,H_009_00191.JPG,0.9577,2.527,0.001,0.004,0.998,0.999
H_009_00190.JPG,H_009_00192.JPG,0.9653,2.522,0.001,0.004,0.998,0.999
H_009_00191.JPG,H_009_00193.JPG,0.9772,2.539,0.001,0.004,0.998,0.999
H_009_00192.JPG,H_009_00194.JPG,0.9736,2.526,0.001,0.005,0.998,0.999
H_009_00193.JPG,H_009_00195.JPG,0.9850,2.534,0.001,0.005,0.998,0.999
